ImpactFactor,Journal,Year,Start,End,Duration ,Ecosystem,Meta,ContryAuthor,ContryStudy,DOI,Cited,Cool,Collector
4.78,Ecology,2006,1978,2003,25,terrestrial,0,USA,USA,http://dx.doi.org/10.1890/0012-9658(2006)87[2582:ETLMDO]2.0.CO;2,36,,KK
3.47,EcolAppl,2006,1976,2000,24,marine,0,USA,USA,http://dx.doi.org/10.1890/1051-0761(2006)016[0704:ABTASS]2.0.CO;2,16,0,KB
3.47,EcolAppl,2006,1978,2002,24,terrestrial,0,Australia,Australia,_http://dx.doi.org/10.1890/1051-0761(2006)016[0807:SMPBME]2.0.CO;2,32,0,KB
3.47,EcolAppl,2006,1978,2002,24,terrestrial,0,Spain,Spain,http://dx.doi.org/10.1890/1051-0761(2006)016[1674:DPDIPB]2.0.CO;2,56,0,KB
5.102,EcolAppl,2010,1982,2006,24,marine,0,USA,USA,http://dx.doi.org/10.1890/08-1036.1,24,0,KB
7.609,EcolMonogr,2006,1980,2003,24,marine,0,Canada,multiple,http://dx.doi.org/10.1890/05-0704,17,1,DRB
17.557,EcologyLetters,2010,1986,2009,24,terrestrial,1,France,NA,10.1111/j.1461-0248.2010.01445.x,NA,0,KdeN
1.875,JEMBE,2010,1982,2005,24,marine,0,Israel,UK,http://dx.doi.org/10.1016/j.jembe.9999.12.009,3,0,BBH
2.711,MEPS,2010,1967,1990,24,marine,0,USA,France,10.3354/meps08811,0,0,MM
2.286,MEPS,2006,1979,2002,24,marine,0,Canada,Canada,10.3354/meps319287,6,1,MM
26.681,Nature,2006,1980,2003,24,terrestrial,0,Netherlands,multiple,doi:10.1038/nature04539,334,0,JF
3.333,Oecologia,2006,1981,2004,24,terrestrial,0,Spain,Spain,10.1007/s00442-006-0465-5 ,19,0,RZ
4.092,PLoSOne,2010,1982,2005,24,terrestrial,0,Germany,Ivory Coast,10.1371/journal.pone.0008901,10,1,RBL
31.36,Science,2010,1980,2008,24,multiple,0,global,multiple,10.1126/science.1194442,NA,0,ST
4.85,Ecology,2010,1982,2006,24,freshwater,0,Switzerland,Finland,http://dx.doi.org/10.1890/09-2016.1,NA,0,KK
4.85,Ecology,2010,1983,2007,24,terrestrial,0,Norway,Netherlands,http://dx.doi.org/10.1890/09-0410.1,NA,0,KK
4.78,Ecology,2006,1990,2005,24,marine,0,USA,USA,http://dx.doi.org/10.1890/0012-9658(2006)87[2905:CBSEAL]2.0.CO;2,11,,KK
3.47,EcolAppl,2006,1976,1998,23,terrestrial,0,USA,South Georgia Island,http://dx.doi.org/10.1890/03-5340,25,0,KB
2.711,MEPS,2010,1986,2008,23,marine,0,USA,USA,10.3354/meps08710,1,0,MM
2.286,MEPS,2006,1979,2001,23,marine,0,New Zealand,New Zealand,10.3354/meps321267,87,1,MM
2.711,MEPS,2010,1982,2005,23,marine,0,China,China,10.3354/meps08974,NA,1,MM
2.286,MEPS,2006,1980,2004,23,marine,0,Australia,multiple,10.3354/meps324261,9,1,MM
3.412,Oecologia,2010,1986,2008,23,freshwater,0,Spain,Spain,10.1007/s00442-010-1639-8,NA,0,MS
3.381,Oikos,2006,1980,2003,23,terrestrial,1,Finland,multiple,10.1111/j.0030-1299.2006.41023.x,58,0,JaFig
3.381,Oikos,2006,9999,9999,23,freshwater,0,France,multiple,10.1111/j.2006.0030-1299.14847.x ,10,0,JaFig
4.85,Ecology,2010,1982,2005,23,terrestrial,0,Panama,Panama,_http://dx.doi.org/10.1890/09-2335.1,NA,0,KK
4.692,ConservBiol,2010,1986,2007,22,terrestrial,0,New Zealand,New Zealand,10.1111/j.1523-1739.2010.01549.x,NA,0,WNH
10.988,CurrBiol,2006,1984,2005,22,terrestrial,0,Germany,Germany,10.1016/j.cub.2006.02.012,18,1,MM
3.47,EcolAppl,2006,1980,2003,22,marine,0,USA,USA,http://dx.doi.org/10.1890/1051-0761(2006)016[0977:ETSONR]2.0.CO;2,10,0,KB
3.47,EcolAppl,2006,1980,2002,22,freshwater,0,USA,New Zealand,http://dx.doi.org/10.1890/1051-0761(2006)016[1449:RTSICP]2.0.CO;2,30,0,KB
1.875,JEMBE,2010,1988,2009,22,marine,1,Brazil,Brazil,10.1016/j.jembe.2010.04.021,NA,0,BBH
2.286,MEPS,2006,1990,2001,22,marine,0,Netherlands,Netherlands,10.3354/meps318221,7,1,MM
2.711,MEPS,2010,1985,2006,22,marine,0,Canada,Canada,10.3354/meps08950,NA,1,MM
3.333,Oecologia,2006,1975,1996,22,terrestrial,0,Canada,Canada,10.1007/s00442-005-0308-9,7,0,MS
3.333,Oecologia,2006,1982,2003,22,terrestrial,0,Australia,Australia,10.1007/s00442-005-0224-z,7,0,MS
3.333,Oecologia,2006,1982,2003,22,terrestrial,0,Norway,Norway,10.1007/s00442-006-0519-8,25,0,MS
9.643,PNAS,2006,9999,9999,22,terrestrial,0,Panama,multiple,10.1073/pnas.0609048103 ,82,1,AKO
31.36,Science,2010,1986,2007,22,terrestrial,0,usa,USA,10.1126/science.1192891,NA,0,ST
4.85,Ecology,2010,1986,2008,22,terrestrial,0,Spain,Spain,http://dx.doi.org/10.1890/09-0849.1,NA,1,KK
3.393,Oikos,2010,1981,2003,22,terrestrial,1,Spain,multiple,10.1111/j.1600-0706.2009.18026.x,6,0,Jared
3.47,EcolAppl,2006,1980,2001,21,marine,0,USA,USA,http://dx.doi.org/10.1890/1051-0761(2006)016[1502:CIBSAA]2.0.CO;2,13,0,KB
4.527,JournalApplEco,2006,1983,2003,21,marine,0,Denmark,multiple,10.1111/j.1365-2664.2006.01161.x,32,0,Maya
4.527,JournalApplEco,2006,1980,2000,21,freshwater,0,France,New Zealand,10.1111/j.1365-2664.2006.01201.x,NA,0,Maya
2.711,MEPS,2010,1988,2008,21,marine,0,France,France,10.3354/meps08802,2,1,MM
2.286,MEPS,2006,1982,2002,21,marine,0,USA,multiple,10.3354/meps318047,4,1,MM
2.286,MEPS,2006,1973,1993,21,marine,0,USA,multiple,10.3354/meps318277,3,1,MM
3.393,Oikos,2010,1989,2009,21,multiple,0,Austria,multiple,10.1111/j.1600-0706.2009.17315.x,NA,0,JO
4.85,Ecology,2010,1984,2005,21,terrestrial,0,Canada,Canada,,NA,1,KK
4.78,Ecology,2006,1980,2001,21,terrestrial,0,Panama,Brazil,http://dx.doi.org/10.1890/05-0064,107,y,KK
3.393,Oikos,2010,1989,2009,21,multiple,0,Austria,Global,10.1111/j.1600-0706.2009.17315.x,NA,0,JO
3.782,ConservBiol,2006,1979,2001,20,terrestrial,0,Brazil,Brazil,10.1111/j.1523-1739.2006.00427.x,42,0,KEKH
